id,team,number,name,ruby,height,weight,handed bat,handed pitch,pro year,birthday,age,birthplace,blood type
1300073,阪神タイガース,2,梅野 隆太郎,ウメノ リュウタロウ,173,80,右,右,10,1991-06-17,31,福岡,A
1800066,阪神タイガース,38,小幡 竜平,オバタ リュウヘイ,184,75,右,左,5,2000-09-21,22,大分,B
1500090,阪神タイガース,17,青柳 晃洋,アオヤギ コウヨウ,183,82,右,右,8,1993-12-11,29,神奈川,B
1500064,横浜DeNAベイスターズ,10,戸柱 恭孝,トバシラ ヤスタカ,179,90,右,左,8,1990-04-11,32,鹿児島,A
1900030,横浜DeNAベイスターズ,6,森 敬斗,モリ ケイト,177,80,右,左,4,2002-01-28,21,静岡,A
1400110,横浜DeNAベイスターズ,14,石田 健大,イシダ ケンタ,180,85,左,左,9,1993-03-01,30,広島,O
1600107,横浜DeNAベイスターズ,98,京田 陽太,キョウダ ヨウタ,184,90,右,左,7,1994-04-20,28,石川,O
1200053,横浜DeNAベイスターズ,51,宮﨑 敏郎,ミヤザキ トシロウ,172,85,右,右,11,1988-12-12,34,佐賀,B
1500091,阪神タイガース,63,板山 祐太郎,イタヤマ ユウタロウ,180,82,右,左,8,1994-03-27,29,神奈川,B
1100061,横浜DeNAベイスターズ,1,桑原 将志,クワハラ マサユキ,174,80,右,右,12,1993-07-21,29,大阪,B
1700020,横浜DeNAベイスターズ,99,ソト,,185,97,右,右,6,1989-02-28,34,プエルトリコ,
1600117,阪神タイガース,33,糸原 健斗,イトハラ ケント,175,82,右,左,7,1992-11-11,30,島根,O
900011,横浜DeNAベイスターズ,0,大田 泰示,オオタ タイシ,188,96,右,右,15,1990-06-09,32,広島,O
1900041,中日ドラゴンズ,60,岡林 勇希,オカバヤシ ユウキ,175,75,右,左,4,2002-02-22,21,三重,O
900410,中日ドラゴンズ,8,大島 洋平,オオシマ ヨウヘイ,176,75,左,左,14,1985-11-09,37,愛知,A
1100069,中日ドラゴンズ,3,高橋 周平,タカハシ シュウヘイ,180,90,右,左,12,1994-01-18,29,神奈川,O
1961068,中日ドラゴンズ,9,アキーノ,,195,108,右,右,1,1994-04-22,28,ドミニカ共和国,
1600021,中日ドラゴンズ,66,ビシエド,,185,108,右,右,8,1989-03-10,34,キューバ,
1600001,読売ジャイアンツ,50,オコエ 瑠偉,オコエ ルイ,185,90,右,右,8,1997-07-21,25,東京,O
1600059,読売ジャイアンツ,2,吉川 尚輝,ヨシカワ ナオキ,177,78,右,左,7,1995-02-08,28,岐阜,A
800043,読売ジャイアンツ,8,丸 佳浩,マル ヨシヒロ,177,94,右,左,16,1989-04-11,33,千葉,AB
1400101,読売ジャイアンツ,25,岡本 和真,オカモト カズマ,186,100,右,右,9,1996-06-30,26,奈良,A
1500076,中日ドラゴンズ,35,木下 拓哉,キノシタ タクヤ,183,95,右,右,8,1991-12-18,31,高知,B
2103780,中日ドラゴンズ,68,福永 裕基,フクナガ ヒロキ,180,85,右,右,1,1996-09-16,26,滋賀,AB
2000044,中日ドラゴンズ,45,龍空,リュウク,180,77,右,左,3,2002-12-30,20,滋賀,A
1500074,中日ドラゴンズ,11,小笠原 慎之介,オガサワラ シンノスケ,180,93,左,左,8,1997-10-08,25,神奈川,A
800054,読売ジャイアンツ,10,中田 翔,ナカタ ショウ,184,107,右,右,16,1989-04-22,33,広島,O
700003,読売ジャイアンツ,6,坂本 勇人,サカモト ハヤト,186,86,右,右,17,1988-12-14,34,兵庫,AB
1860031,読売ジャイアンツ,42,ブリンソン,,196,96,右,右,1,1994-05-08,28,アメリカ,
1700044,読売ジャイアンツ,24,大城 卓三,オオシロ タクミ,187,90,右,左,6,1993-02-11,30,沖縄,B
1960962,読売ジャイアンツ,33,ビーディ,,188,97,右,右,1,1993-05-23,29,アメリカ,
1700152,中日ドラゴンズ,96,アルモンテ,,182,99,右,両,4,1989-06-10,33,ドミニカ共和国,
600084,読売ジャイアンツ,23,松田 宣浩,マツダ ノブヒロ,180,86,右,右,18,1983-05-17,39,滋賀,B
1200059,中日ドラゴンズ,48,溝脇 隼人,ミゾワキ ハヤト,179,79,右,左,11,1994-05-17,28,熊本,O
1200097,中日ドラゴンズ,52,加藤 翔平,カトウ ショウヘイ,183,90,右,両,11,1991-03-28,32,埼玉,AB
700027,読売ジャイアンツ,13,梶谷 隆幸,カジタニ タカユキ,180,90,右,左,17,1988-08-28,34,島根,A
1751068,オリックス・バファローズ,9,野口 智哉,ノグチ トモヤ,181,90,右,左,2,1999-09-20,23,奈良,B
1160424,オリックス・バファローズ,8,ゴンザレス,,185,93,右,両,1,1989-03-14,34,ベネズエラ,
1400201,オリックス・バファローズ,5,西野 真弘,ニシノ マサヒロ,167,71,右,左,9,1990-08-02,32,東京,O
1961286,埼玉西武ライオンズ,10,ペイトン,,173,82,左,左,1,1991-12-07,31,アメリカ,
2108196,埼玉西武ライオンズ,30,マキノン,,188,100,右,右,1,1994-12-15,28,アメリカ,
1400184,埼玉西武ライオンズ,5,外崎 修汰,トノサキ シュウタ,177,82,右,右,9,1992-12-20,30,青森,O
1300101,埼玉西武ライオンズ,3,山川 穂高,ヤマカワ ホタカ,176,103,右,右,10,1991-11-23,31,沖縄,A
1500135,オリックス・バファローズ,99,杉本 裕太郎,スギモト ユウタロウ,190,104,右,右,8,1991-04-05,32,徳島,B
1300100,オリックス・バファローズ,4,森 友哉,モリ トモヤ,170,85,右,左,10,1995-08-08,27,大阪,A
1800104,オリックス・バファローズ,67,中川 圭太,ナカガワ ケイタ,180,76,右,右,5,1996-04-12,26,大阪,B
1400196,オリックス・バファローズ,6,宗 佑磨,ムネ ユウマ,181,83,右,左,9,1996-06-07,26,東京,B
12102,埼玉西武ライオンズ,1,栗山 巧,クリヤマ タクミ,177,85,右,左,22,1983-09-03,39,兵庫,O
1900065,埼玉西武ライオンズ,37,柘植 世那,ツゲ セナ,174,88,右,右,4,1997-06-03,25,群馬,O
2000069,埼玉西武ライオンズ,32,山村 崇嘉,ヤマムラ タカヨシ,183,86,右,左,3,2002-09-28,20,東京,O
2107897,オリックス・バファローズ,61,茶野 篤政,チャノ トクマサ,175,80,右,左,1,1999-08-04,23,滋賀,B
2000098,オリックス・バファローズ,38,来田 涼斗,キタ リョウト,180,90,右,左,3,2002-10-16,20,兵庫,A
1500102,埼玉西武ライオンズ,53,愛斗,アイト,177,92,右,右,8,1997-04-06,26,大阪,O
1200083,埼玉西武ライオンズ,7,金子 侑司,カネコ ユウジ,179,76,右,両,11,1990-04-24,32,京都,B
2105684,埼玉西武ライオンズ,0,児玉 亮涼,コダマ リョウスケ,166,65,右,右,1,1998-07-10,24,熊本,A
12101,埼玉西武ライオンズ,60,中村 剛也,ナカムラ タケヤ,175,102,右,右,22,1983-08-15,39,大阪,O
1000014,千葉ロッテマリーンズ,0,荻野 貴司,オギノ タカシ,172,75,右,右,14,1985-10-21,37,奈良,O
1400188,千葉ロッテマリーンズ,8,中村 奨吾,ナカムラ ショウゴ,180,88,右,右,9,1992-05-28,30,兵庫,A
1800053,千葉ロッテマリーンズ,51,山口 航輝,ヤマグチ コウキ,183,97,右,右,5,2000-08-18,22,大阪,A
1000175,福岡ソフトバンクホークス,8,牧原 大成,マキハラ タイセイ,172,73,右,左,13,1992-10-15,30,福岡,A
1100097,福岡ソフトバンクホークス,3,近藤 健介,コンドウ ケンスケ,171,86,右,左,12,1993-08-09,29,千葉,O
1000128,福岡ソフトバンクホークス,9,柳田 悠岐,ヤナギタ ユウキ,188,93,右,左,13,1988-10-09,34,広島,AB
1300054,千葉ロッテマリーンズ,44,井上 晴哉,イノウエ セイヤ,180,115,右,右,10,1989-07-03,33,広島,A
1460080,千葉ロッテマリーンズ,22,ポランコ,,196,108,左,左,2,1991-09-14,31,ドミニカ共和国,
1700092,千葉ロッテマリーンズ,5,安田 尚憲,ヤスダ ヒサノリ,188,95,右,左,6,1999-04-15,23,大阪,A
1400127,福岡ソフトバンクホークス,24,栗原 陵矢,クリハラ リョウヤ,179,82,右,左,9,1996-07-04,26,福井,A
2103735,福岡ソフトバンクホークス,31,正木 智也,マサキ トモヤ,182,89,右,右,2,1999-11-05,23,東京,O
800081,福岡ソフトバンクホークス,7,中村 晃,ナカムラ アキラ,175,80,左,左,16,1989-11-05,33,埼玉,O
1860201,福岡ソフトバンクホークス,4,アストゥディーヨ,,175,102,右,右,1,1991-10-14,31,ベネズエラ,
1000035,福岡ソフトバンクホークス,6,今宮 健太,イマミヤ ケンタ,173,80,右,右,14,1991-07-15,31,大分,O
1200096,千葉ロッテマリーンズ,27,田村 龍弘,タムラ タツヒロ,172,81,右,右,11,1994-05-13,28,大阪,A
1700093,千葉ロッテマリーンズ,4,藤岡 裕大,フジオカ ユウダイ,178,77,右,左,6,1993-08-08,29,岡山,O
1800050,千葉ロッテマリーンズ,1,藤原 恭大,フジワラ キョウタ,181,80,左,左,5,2000-05-06,22,大阪,B
1000176,福岡ソフトバンクホークス,19,甲斐 拓也,カイ タクヤ,170,87,右,右,13,1992-11-05,30,大分,O
1900081,千葉ロッテマリーンズ,32,佐藤 都志也,サトウ トシヤ,181,86,右,左,4,1998-01-27,25,福島,B
1700135,福岡ソフトバンクホークス,23,周東 佑京,シュウトウ ウキョウ,180,71,右,左,6,1996-02-10,27,群馬,A
1560639,中日ドラゴンズ,99,カリステ,,184,87,右,右,1,1992-02-03,31,ドミニカ共和国,
1961407,読売ジャイアンツ,29,グリフィン,,190,102,左,右,1,1995-07-27,27,アメリカ,
500014,中日ドラゴンズ,20,涌井 秀章,ワクイ ヒデアキ,185,85,右,右,19,1986-06-21,36,千葉,A
2000007,読売ジャイアンツ,40,中山 礼都,ナカヤマ ライト,182,82,右,左,3,2002-04-12,20,愛知,A
1600085,中日ドラゴンズ,0,細川 成也,ホソカワ セイヤ,179,98,右,右,7,1998-08-04,24,神奈川,AB
1600123,広島東洋カープ,28,床田 寛樹,トコダ ヒロキ,181,92,左,左,7,1995-03-01,28,兵庫,A
1760587,東京ヤクルトスワローズ,63,ピーターズ,,180,88,左,左,1,1992-08-31,30,アメリカ,
1650522,東京ヤクルトスワローズ,4,丸山 和郁,マルヤマ カズヤ,174,80,左,左,2,1999-07-18,23,群馬,B
1200070,広島東洋カープ,0,上本 崇司,ウエモト タカシ,170,73,右,右,11,1990-08-22,32,広島,A
800075,横浜DeNAベイスターズ,29,伊藤 光,イトウ ヒカル,180,88,右,右,16,1989-04-23,33,愛知,B
1660377,横浜DeNAベイスターズ,45,ガゼルマン,,193,95,右,右,2,1993-07-18,29,アメリカ,
900425,阪神タイガース,21,秋山 拓巳,アキヤマ タクミ,188,101,右,左,14,1991-04-26,31,香川,A
1300042,阪神タイガース,25,渡邉 諒,ワタナベ リョウ,178,86,右,右,10,1995-04-30,27,茨城,B
900426,阪神タイガース,94,原口 文仁,ハラグチ フミヒト,182,93,右,右,14,1992-03-03,31,埼玉,AB
1800067,阪神タイガース,0,木浪 聖也,キナミ セイヤ,179,81,右,左,5,1994-06-15,28,青森,O
1500087,阪神タイガース,12,坂本 誠志郎,サカモト セイシロウ,176,79,右,右,8,1993-11-10,29,兵庫,O
600003,横浜DeNAベイスターズ,9,大和,ヤマト,177,77,右,右,18,1987-11-05,35,鹿児島,A
1700080,阪神タイガース,53,島田 海吏,シマダ カイリ,176,73,右,左,6,1996-02-06,27,熊本,AB
2106284,北海道日本ハムファイターズ,12,矢澤 宏太,ヤザワ コウタ,173,71,左,左,1,2000-08-02,22,東京,A
1900113,東北楽天ゴールデンイーグルス,24,黒川 史陽,クロカワ フミヤ,182,86,右,左,4,2001-04-17,21,奈良,B
600026,東北楽天ゴールデンイーグルス,26,炭谷 銀仁朗,スミタニ ギンジロウ,181,98,右,右,18,1987-07-19,35,京都,O
1400118,北海道日本ハムファイターズ,10,清水 優心,シミズ ユウシ,185,91,右,右,9,1996-05-22,26,山口,A
2000084,北海道日本ハムファイターズ,61,今川 優馬,イマガワ ユウマ,177,86,右,右,3,1997-01-25,26,北海道,A
1400170,北海道日本ハムファイターズ,37,江越 大賀,エゴシ タイガ,182,81,右,右,9,1993-03-12,30,長崎,O
1800122,東北楽天ゴールデンイーグルス,48,渡邊 佳明,ワタナベ ヨシアキ,180,79,右,左,5,1997-01-08,26,神奈川,A
1800123,東北楽天ゴールデンイーグルス,51,小郷 裕哉,オゴウ ユウヤ,178,85,右,左,5,1996-08-03,26,岡山,O
1200100,北海道日本ハムファイターズ,23,伏見 寅威,フシミ トライ,182,87,右,右,11,1990-05-12,32,北海道,AB
1700111,オリックス・バファローズ,1,福田 周平,フクダ シュウヘイ,167,69,右,左,6,1992-08-08,30,大阪,A
1300109,オリックス・バファローズ,2,若月 健矢,ワカツキ ケンヤ,180,88,右,右,10,1995-10-04,27,埼玉,O
1500112,埼玉西武ライオンズ,31,平沼 翔太,ヒラヌマ ショウタ,179,80,右,左,8,1997-08-16,25,福井,A
1400202,オリックス・バファローズ,50,小田 裕也,オダ ユウヤ,172,75,右,左,9,1989-11-04,33,熊本,O
1500128,オリックス・バファローズ,10,大城 滉二,オオシロ コウジ,175,80,右,右,8,1993-06-14,29,沖縄,B
1300079,福岡ソフトバンクホークス,51,上林 誠知,ウエバヤシ セイジ,185,90,右,左,10,1995-08-01,27,埼玉,O
1500141,千葉ロッテマリーンズ,67,茶谷 健太,チャタニ ケンタ,186,90,右,右,8,1998-01-16,25,神奈川,O
2106798,千葉ロッテマリーンズ,10,友杉 篤輝,トモスギ アツキ,171,70,右,右,1,2000-11-07,22,大阪,A
1300044,千葉ロッテマリーンズ,25,岡 大海,オカ ヒロミ,185,80,右,右,10,1991-07-15,31,岡山,B
1500143,福岡ソフトバンクホークス,0,川瀬 晃,カワセ ヒカル,176,70,右,左,8,1997-09-15,25,大分,B
1200055,中日ドラゴンズ,24,福谷 浩司,フクタニ コウジ,183,93,右,右,11,1991-01-09,32,愛知,B
2103689,読売ジャイアンツ,31,赤星 優志,アカホシ ユウジ,175,82,右,右,2,1999-07-02,23,東京,B
900397,読売ジャイアンツ,7,長野 久義,チョウノ ヒサヨシ,180,85,右,右,14,1984-12-06,38,佐賀,O
2107874,読売ジャイアンツ,35,門脇 誠,カドワキ マコト,171,76,右,左,1,2001-01-24,22,奈良,A
1900057,広島東洋カープ,65,玉村 昇悟,タマムラ ショウゴ,179,84,左,左,4,2001-04-16,21,福井,A
2103794,東京ヤクルトスワローズ,21,吉村 貢司郎,ヨシムラ コウジロウ,183,85,右,右,1,1998-01-19,25,東京,B
800041,広島東洋カープ,55,松山 竜平,マツヤマ リュウヘイ,176,96,右,左,16,1985-09-18,37,鹿児島,B
1600115,阪神タイガース,35,才木 浩人,サイキ ヒロト,189,86,右,右,7,1998-11-07,24,兵庫,A
1700066,横浜DeNAベイスターズ,50,山本 祐大,ヤマモト ユウダイ,180,87,右,右,6,1998-09-11,24,大阪,A
1600109,横浜DeNAベイスターズ,47,笠原 祥太郎,カサハラ ショウタロウ,177,85,左,左,7,1995-03-17,28,新潟,A
1800118,東北楽天ゴールデンイーグルス,2,太田 光,オオタ ヒカル,178,76,右,右,5,1996-10-14,26,岡山,O
1460315,北海道日本ハムファイターズ,6,アルカンタラ,,178,85,右,両,2,1991-10-29,31,ドミニカ共和国,
1600130,埼玉西武ライオンズ,46,鈴木 将平,スズキ ショウヘイ,175,80,左,左,7,1998-05-20,24,静岡,O
1750472,埼玉西武ライオンズ,22,古賀 悠斗,コガ ユウト,174,86,右,右,2,1999-09-10,23,福岡,A
700087,千葉ロッテマリーンズ,3,角中 勝也,カクナカ カツヤ,180,85,右,左,17,1987-05-25,35,石川,A
2100346,千葉ロッテマリーンズ,2,松川 虎生,マツカワ コウ,178,98,右,右,2,2003-10-20,19,大阪,A
900062,阪神タイガース,16,西 勇輝,ニシ ユウキ,181,81,右,右,15,1990-11-10,32,三重,B
1300058,広島東洋カープ,11,九里 亜蓮,クリ アレン,187,97,右,右,10,1991-09-01,31,鳥取,A
1900055,広島東洋カープ,54,韮澤 雄也,ニラサワ ユウヤ,177,83,右,左,4,2001-05-20,21,新潟,AB
2000139,東京ヤクルトスワローズ,54,サイスニード,,193,97,右,右,3,1992-10-01,30,アメリカ,
1000138,中日ドラゴンズ,22,大野 雄大,オオノ ユウダイ,184,85,左,左,13,1988-09-26,34,京都,O
600011,東京ヤクルトスワローズ,5,川端 慎吾,カワバタ シンゴ,185,86,右,左,18,1987-10-16,35,大阪,O
1800028,読売ジャイアンツ,20,戸郷 翔征,トゴウ ショウセイ,187,84,右,右,5,2000-04-04,23,宮崎,AB
1600081,横浜DeNAベイスターズ,26,濵口 遥大,ハマグチ ハルヒロ,173,80,左,左,7,1995-03-16,28,佐賀,B
1300027,読売ジャイアンツ,22,小林 誠司,コバヤシ セイジ,178,86,右,右,10,1989-06-07,33,大阪,O
1160568,福岡ソフトバンクホークス,0,ガルビス,,178,86,右,両,2,1989-11-14,33,ベネズエラ,
1900084,北海道日本ハムファイターズ,35,福田 光輝,フクダ コウキ,176,80,右,左,4,1997-11-16,25,大阪,A
1660388,読売ジャイアンツ,65,メンデス,,193,104,左,左,1,1995-01-17,28,ベネズエラ,
1300031,横浜DeNAベイスターズ,59,平良 拳太郎,タイラ ケンタロウ,180,80,右,右,10,1995-07-12,27,沖縄,O
1500042,東京ヤクルトスワローズ,47,高橋 奎二,タカハシ ケイジ,178,73,左,左,8,1997-05-14,25,京都,O
1600106,中日ドラゴンズ,17,柳 裕也,ヤナギ ユウヤ,180,85,右,右,7,1994-04-22,28,宮崎,A
2103840,中日ドラゴンズ,42,ブライト 健太,ブライト ケンタ,184,88,右,右,2,1999-05-07,23,東京,A
1700089,東京ヤクルトスワローズ,39,宮本 丈,ミヤモト タケシ,182,78,右,左,6,1995-04-03,28,大阪,B
1400160,中日ドラゴンズ,69,加藤 匠馬,カトウ タクマ,175,83,右,右,9,1992-04-29,30,三重,B
2000028,東京ヤクルトスワローズ,0,並木 秀尊,ナミキ ヒデタカ,170,70,右,右,3,1999-03-23,24,埼玉,
1000109,東京ヤクルトスワローズ,66,三ツ俣 大樹,ミツマタ タイキ,178,85,右,右,13,1992-05-11,30,東京,O
1800086,埼玉西武ライオンズ,58,佐藤 龍世,サトウ リュウセイ,174,85,右,右,5,1997-01-15,26,北海道,AB
1600003,東北楽天ゴールデンイーグルス,5,茂木 栄五郎,モギ エイゴロウ,171,75,右,左,8,1994-02-14,29,東京,O
1800098,オリックス・バファローズ,31,太田 椋,オオタ リョウ,181,84,右,右,5,2001-02-14,22,大阪,B
1800099,オリックス・バファローズ,44,頓宮 裕真,トングウ ユウマ,182,103,右,右,5,1996-11-17,26,岡山,AB
1800026,読売ジャイアンツ,62,横川 凱,ヨコガワ カイ,190,98,左,左,5,2000-08-30,22,滋賀,B
1700058,横浜DeNAベイスターズ,11,東 克樹,アズマ カツキ,170,76,左,左,6,1995-11-29,27,三重,B
2000042,中日ドラゴンズ,19,髙橋 宏斗,タカハシ ヒロト,186,86,右,右,3,2002-08-09,20,愛知,AB
12113,東京ヤクルトスワローズ,19,石川 雅規,イシカワ マサノリ,167,73,左,左,22,1980-01-22,43,秋田,A
1900044,阪神タイガース,15,西 純矢,ニシ ジュンヤ,184,98,右,右,4,2001-09-13,21,広島,O
700050,広島東洋カープ,27,會澤 翼,アイザワ ツバサ,175,90,右,右,17,1988-04-13,34,茨城,B
1700072,広島東洋カープ,66,遠藤 淳志,エンドウ アツシ,186,87,右,右,6,1999-04-08,23,茨城,O
1200080,北海道日本ハムファイターズ,32,谷内 亮太,ヤチ リョウタ,177,80,右,右,11,1991-02-03,32,石川,B
1800102,オリックス・バファローズ,53,宜保 翔,ギボ ショウ,176,75,右,左,5,2000-11-26,22,沖縄,O
900430,広島東洋カープ,7,堂林 翔太,ドウバヤシ ショウタ,183,96,右,右,14,1991-08-17,31,愛知,A
